Twitter,Telegram,Launch Date
https://twitter.com/Fridon_AI,,
https://x.com/tappysocial,https://t.me/tappysocial,2/21/2025
https://x.com/aistrox?s=21,https://t.me/aistrox,3/1/2025
https://x.com/god,,
https://x.com/PunkyAi,https://discord.com/invite/punky,
https://x.com/HeyElsaAI,@TheDhawalShah,
https://x.com/StarseedTeam,,
https://x.com/get_nimbus,,
https://x.com/Cod3xOrg,,
https://x.com/galaxyhubai?s=21,@Seenfinity,
https://x.com/infinityg_ai,@Reeler47,
https://x.com/jus_txAI,@SidP95,
https://x.com/arcturus_sol,@zkdamien,
https://x.com/EliteAgents_AI,@GenoJAy,
https://x.com/breakaidotfun,,
https://x.com/vcmilei,,
https://x.com/dallorvilla,,
https://x.com/get_palet,@ernestoojeda,
https://x.com/CyreneAI,,
https://x.com/PVPAI_Intern,@agisummer,
https://x.com/prediqs,,
https://x.com/eidolabs,,
https://x.com/SolanaHubApp,,
https://x.com/assisterr,@havryliak,
https://x.com/flowdotfans,,
https://x.com/_emeraldsh,,
https://x.com/builditwithjoe,@josephchicas,
https://x.com/BAAP_protocol,,
https://x.com/aolo_ai,@jenniekusu,
https://x.com/captainpirate99,@captainpirate99,
https://x.com/FungIPle,@kof97mai,
https://x.com/voltrxyz,icarustoast,2/9/2025
https://x.com/PirateCrewAI,captainpirate99,4/1/2025
https://x.com/SolCoder_,,4/30/2025
